0,1,2
20549.0,25.0,0.0
25525.0,100.0,0.0
24121.0,258.0,1.0
20606.0,48.0,1.0
25776.0,1.0,1.0
11534.0,214.0,1.0
17352.0,354.0,1.0
30644.0,180.0,0.0
21858.0,280.0,0.0
8435.0,99.0,0.0
1595.0,255.0,0.0
31379.0,290.0,0.0
977.0,174.0,1.0
13226.0,348.0,1.0
25749.0,100.0,0.0
2669.0,108.0,0.0
1402.0,122.0,0.0
26402.0,40.0,0.0
21902.0,149.0,0.0
21707.0,268.0,0.0
30468.0,95.0,0.0
25634.0,1.0,1.0
6050.0,277.0,0.0
12386.0,64.0,1.0
79.0,292.0,0.0
10500.0,12.0,1.0
7112.0,179.0,0.0
32695.0,7.0,0.0
19888.0,172.0,0.0
23341.0,303.0,0.0
2475.0,365.0,0.0
2242.0,348.0,0.0
17848.0,108.0,0.0
10841.0,40.0,1.0
6291.0,334.0,0.0
10497.0,216.0,0.0
497.0,342.0,0.0
8435.0,108.0,0.0
30412.0,273.0,1.0
8356.0,261.0,0.0
29895.0,259.0,1.0
34095.0,124.0,1.0
4456.0,276.0,0.0
2669.0,192.0,0.0
19111.0,292.0,0.0
33911.0,252.0,0.0
26630.0,98.0,0.0
11818.0,167.0,1.0
246.0,329.0,1.0
9386.0,69.0,0.0
25710.0,71.0,0.0
34363.0,199.0,0.0
26931.0,162.0,1.0
24012.0,255.0,0.0
18487.0,254.0,1.0
17651.0,142.0,0.0
15512.0,216.0,0.0
29649.0,164.0,0.0
12298.0,277.0,0.0
15741.0,255.0,1.0
11697.0,300.0,1.0
17060.0,378.0,1.0
27836.0,88.0,1.0
30783.0,104.0,0.0
30360.0,196.0,1.0
17599.0,108.0,1.0
18584.0,342.0,1.0
28320.0,274.0,0.0
32933.0,158.0,0.0
24898.0,276.0,0.0
28400.0,174.0,0.0
27410.0,36.0,1.0
15283.0,348.0,0.0
23459.0,348.0,1.0
27032.0,94.0,0.0
18577.0,60.0,0.0
30061.0,124.0,0.0
3178.0,336.0,0.0
